timestamp,load_avg_1m
1431434291,0.00
1431434313,0.00
1431434336,0.00
1431434357,0.00
1431434379,0.00
1431434401,0.00
1431434424,0.00
1431434446,0.00
1431434468,0.00
1431434489,0.00
1431434512,0.00
1431434534,0.00
1431434556,0.00
1431434577,0.00
1431434599,0.00
1431434621,0.00
1431434643,0.00
1431434666,0.00
1431434688,0.00
1431434709,0.00
1431434731,0.00
1431434753,0.00
1431434775,0.00
1431434798,0.00
1431434819,0.00
1431434841,0.00
1431434863,0.00
1431434885,0.00
1431434908,0.00
1431434929,0.00
1431434952,0.00
1431434974,0.00
1431434995,0.00
1431435018,0.00
1431435040,0.00
1431435062,0.00
1431435084,0.00
1431435105,0.00
1431435128,0.00
1431435149,0.00
1431435172,0.00
1431435194,0.00
1431435216,0.00
1431435237,0.00
1431435259,0.00
1431435281,0.31
1431435304,0.21
1431435326,0.15
1431435347,0.10
1431435369,0.07
1431435391,0.05
1431435413,0.03
1431435436,0.02
1431435458,0.94
1431435479,0.66
1431435501,0.45
1431435522,0.32
1431435544,0.22
1431435567,0.15
1431435589,0.11
1431435611,0.07
1431435633,0.98
1431435655,0.68
1431435677,0.48
1431435700,1.60
1431435721,2.32
1431435743,1.61
1431435766,1.41
1431435787,1.59
1431435810,1.09
1431435832,0.75
1431435855,1.76
1431435876,2.73
1431435897,1.90
1431435919,2.84
1431435942,3.21
1431435963,3.74
1431435986,3.51
1431436007,3.65
1431436030,2.50
1431436052,2.35
1431436074,1.64
1431436095,2.06
1431436117,1.43
1431436140,1.61
1431436161,1.42
1431436183,0.99
1431436206,1.30
1431436228,2.14
1431436250,2.71
1431436274,1.81
1431436294,1.31
1431436316,0.90
1431436338,1.85
1431436359,2.19
1431436382,1.51
1431436404,1.04
1431436425,1.92
1431436448,1.63
1431436469,1.14
1431436492,0.78
1431436514,0.54
1431436535,0.38
1431436558,1.52
1431436580,1.06
1431436601,1.65
1431436624,1.45
1431436645,2.51
1431436667,2.97
1431436689,2.98
1431436711,3.30
1431436733,2.28
1431436756,1.57
1431436777,2.00
1431436799,1.70
1431436821,2.11
1431436844,1.76
1431436866,2.45
1431436887,2.62
1431436910,3.06
1431436931,3.33
1431436954,3.23
1431436975,3.76
1431436997,3.52
1431437019,3.67
1431437041,3.16
1431437063,2.81
1431437085,3.18
1431437107,3.43
1431437130,2.98
1431437151,2.99
1431437173,3.30
1431437195,2.91
1431437217,3.24
1431437240,2.54
1431437261,2.98
1431437284,3.30
1431437306,3.52
1431437327,3.66
1431437350,3.45
1431437371,2.41
1431437393,2.90
1431437416,3.25
1431437438,3.48
1431437460,3.64
1431437482,3.75
1431437504,2.92
1431437525,3.25
1431437547,2.86
1431437569,3.21
1431437591,3.15
1431437613,3.71
1431437635,2.88
1431437657,2.00
1431437679,2.61
1431437701,3.03
1431437723,2.41
1431437745,2.91
1431437768,3.25
1431437789,2.57
1431437811,1.79
1431437833,1.25
1431437855,1.17
1431437877,0.82
1431437899,1.49
1431437922,2.31
1431437943,1.64
1431437965,1.14
1431437987,2.02
1431438009,1.71
1431438031,2.42
1431438053,1.98
1431438075,2.59
1431438097,3.34
1431438119,3.24
1431438141,3.47
1431438164,4.27
1431438185,4.19
1431438208,4.13
1431438229,3.79
1431438252,3.86
1431438273,3.60
1431438295,3.42
1431438317,3.60
1431438339,3.72
1431438361,3.81
1431438383,3.87
1431438405,3.00
1431438427,3.31
1431438450,3.52
1431438471,3.06
1431438493,3.35
1431438515,3.55
1431438537,3.38
1431438559,3.57
1431438581,3.70
1431438603,3.79
1431438625,3.86
1431438647,2.69
1431438669,1.85
1431438691,1.90
1431438713,2.86
1431438735,2.90
1431438757,3.24
1431438779,3.47
1431438803,3.96
1431438823,3.68
1431438845,2.56
1431438867,2.70
1431438889,1.88
1431438911,2.84
1431438934,2.27
1431438956,2.49
1431438977,2.95
1431439000,3.27
1431439022,3.50
1431439045,3.66
1431439066,3.76
1431439087,3.83
1431439110,3.88
1431439132,3.92
1431439153,3.94
1431439175,3.65
1431439198,2.52
1431439220,2.98
1431439242,3.30
1431439264,3.51
1431439285,3.66
1431439308,3.77
1431439330,3.53
1431439352,3.68
1431439373,3.48
1431439396,3.64
1431439417,3.44
1431439440,3.61
1431439462,3.73
1431439484,3.82
1431439506,3.87
1431439527,3.91
1431439549,3.63
1431439571,3.74
1431439593,3.82
1431439616,3.88
1431439638,3.92
1431439660,3.94
1431439681,3.35
1431439703,3.55
1431439725,3.99
1431439747,3.99
1431439769,4.00
1431439791,4.00
1431439814,4.00
1431439836,3.70
1431439857,3.79
1431439880,2.61
1431439901,2.73
1431439924,3.12
1431439946,3.39
1431439968,3.58
1431439989,2.79
1431440011,2.85
1431440033,2.29
1431440056,2.83
1431440078,3.19
1431440099,3.13
1431440121,3.40
1431440144,3.27
1431440166,3.50
1431440188,3.65
1431440209,3.76
1431440232,3.83
1431440254,3.88
1431440275,3.92
1431440298,3.94
1431440319,3.37
1431440341,3.56
1431440364,3.70
1431440385,3.79
1431440407,3.24
1431440430,3.47
1431440451,3.63
1431440475,3.75
1431440495,3.82
1431440518,2.94
1431440540,2.96
1431440561,2.37
1431440583,2.57
1431440606,3.01
1431440627,3.31
1431440650,2.91
1431440672,3.25
1431440694,3.17
1431440715,3.12
1431440738,3.40
1431440760,3.58
1431440782,3.71
1431440804,3.80
1431440826,3.55
1431440848,3.08
1431440870,3.06
1431440891,3.34
1431440914,3.55
1431440936,3.69
1431440957,2.58
1431440980,3.03
1431441002,3.32
1431441024,3.53
1431441046,3.67
1431441068,2.85
1431441090,3.21
1431441112,3.44
1431441134,3.62
1431441156,2.82
1431441178,3.18
1431441199,3.43
1431441222,3.61
1431441243,2.85
1431441265,2.89
1431441287,2.93
1431441309,2.95
1431441331,3.27
1431441353,2.88
1431441375,2.30
1431441397,2.83
1431441420,2.88
1431441442,2.30
1431441463,2.81
1431441485,2.87
1431441507,1.98
1431441529,1.98
1431441552,1.36
1431441573,2.14
1431441596,2.73
1431441618,3.11
1431441639,2.18
1431441662,2.76
1431441683,2.83
1431441706,3.20
1431441729,3.45
1431441750,3.61
1431441771,3.73
1431441794,3.82
1431441815,3.87
1431441838,3.91
1431441860,3.94
1431441882,3.35
1431441904,2.32
1431441925,2.52
1431441947,2.67
1431441970,2.77
1431441992,2.84
1431442013,2.89
1431442035,3.23
1431442058,3.15
1431442080,3.41
1431442101,3.59
1431442123,3.71
1431442145,3.80
1431442167,3.24
1431442190,2.84
1431442211,3.19
1431442234,3.44
1431442256,3.31
1431442277,3.51
1431442300,3.66
1431442321,3.77
1431442343,3.84
1431442366,3.89
1431442387,3.92
1431442409,3.95
1431442431,3.96
1431442454,3.97
1431442476,3.98
1431442497,3.99
1431442520,3.99
1431442542,3.99
1431442563,4.00
1431442585,3.69
1431442607,3.78
1431442629,3.85
1431442652,3.90
1431442673,3.93
1431442695,3.95
1431442717,3.97
1431442739,3.67
1431442761,3.77
1431442783,3.54
1431442806,3.05
1431442827,3.04
1431442849,3.34
1431442872,3.54
1431442893,3.38
1431442915,3.57
1431442937,4.01
1431442959,4.01
1431442981,3.70
1431443004,3.79
1431443025,3.85
1431443048,3.90
1431443069,3.93
1431443092,3.64
1431443113,3.75
1431443136,3.83
1431443158,3.88
1431443180,3.92
1431443202,3.94
1431443223,3.96
1431443246,3.97
1431443267,3.98
1431443290,3.99
1431443312,4.30
1431443334,3.90
1431443356,3.93
1431443378,3.64
1431443400,3.75
1431443421,3.83
1431443444,3.88
1431443465,3.92
1431443488,3.94
1431443511,3.64
1431443532,3.75
1431443553,3.82
1431443575,3.88
1431443597,3.61
1431443620,3.11
1431443642,3.39
1431443664,3.58
1431443686,3.71
1431443708,3.79
1431443730,3.86
1431443752,3.90
1431443774,3.93
1431443796,3.95
1431443817,3.97
1431443840,3.98
1431443862,3.69
1431443884,3.78
1431443907,3.54
1431443928,3.67
1431443950,3.78
1431443972,3.84
1431443994,3.89
1431444017,3.93
1431444038,3.95
1431444060,3.96
1431444082,3.97
1431444104,3.98
1431444126,3.99
1431444150,3.99
1431444171,3.99
1431444192,4.00
1431444214,3.69
1431444237,3.79
1431444258,3.85
1431444280,3.59
1431444303,3.72
1431444324,3.80
1431444346,3.55
1431444368,3.69
1431444389,3.78
1431444412,3.85
1431444434,3.90
1431444456,3.62
1431444478,3.74
1431444500,3.51
1431444522,3.66
1431444544,3.46
1431444566,3.32
1431444587,3.52
1431444609,3.67
1431444631,3.16
1431444653,3.11
1431444676,3.39
1431444698,3.58
1431444720,3.71
1431444742,3.49
1431444763,3.64
1431444786,3.75
1431444808,3.52
1431444830,3.67
1431444852,3.77
1431444874,3.84
1431444897,3.89
1431444918,3.92
1431444939,3.95
1431444962,3.34
1431444983,3.24
1431445006,2.54
1431445028,1.75
1431445051,2.46
1431445072,2.91
1431445094,3.24
1431445116,3.47
1431445137,2.42
1431445160,2.91
1431445182,2.94
1431445205,3.28
1431445226,3.50
1431445248,3.65
1431445271,3.76
1431445292,3.83
1431445314,3.88
1431445336,3.61
1431445358,3.73
1431445380,3.21
1431445402,3.45
1431445424,3.62
1431445447,3.74
1431445467,2.94
1431445490,2.96
1431445512,3.28
1431445534,3.50
1431445556,3.66
1431445578,3.76
1431445600,3.52
1431445621,3.66
1431445644,3.77
1431445666,3.84
1431445688,3.59
1431445709,3.71
1431445731,3.50
1431445755,3.66
1431445776,3.76
1431445797,3.83
1431445820,3.58
1431445842,3.71
1431445864,3.80
1431445886,3.86
1431445907,3.31
1431445930,3.53
1431445952,3.36
1431445973,3.55
1431445996,3.38
1431446017,3.57
1431446039,3.39
1431446062,3.58
1431446084,3.41
1431446106,3.59
1431446128,3.72
1431446149,2.91
1431446172,3.26
1431446194,3.48
1431446215,2.45
1431446237,1.69
1431446259,2.08
1431446281,1.75
1431446304,2.14
1431446325,2.40
1431446348,2.90
1431446369,2.93
1431446391,2.03
1431446414,2.66
1431446436,2.76
1431446458,3.14
1431446481,4.06
1431446501,4.04
1431446524,4.03
1431446547,4.02
1431446568,3.72
1431446590,3.80
1431446611,3.56
1431446634,3.38
1431446656,3.27
1431446678,3.49
1431446700,3.65
1431446723,3.76
1431446744,3.83
1431446766,3.88
1431446788,3.31
1431446810,3.22
1431446832,3.15
1431446854,3.10
1431446876,3.39
1431446898,3.57
1431446920,2.78
1431446944,3.18
1431446964,3.41
1431446986,3.59
1431447008,3.41
1431447030,3.59
1431447052,3.09
1431447074,3.37
1431447096,3.57
1431447118,3.70
1431447140,3.79
1431447162,3.23
1431447184,3.46
1431447206,3.32
1431447228,3.53
1431447250,3.67
1431447272,3.77
1431447294,3.84
1431447316,3.89
1431447338,3.92
1431447360,3.64
1431447382,3.75
1431447404,3.83
1431447426,3.88
1431447448,3.61
1431447470,3.73
1431447492,4.13
1431447514,4.09
1431447536,4.06
1431447558,4.35
1431447580,4.55
1431447602,3.78
1431447624,3.85
1431447646,3.90
1431447667,3.63
1431447690,3.43
1431447713,3.61
1431447734,3.73
1431447756,3.81
1431447778,3.87
1431447800,3.91
1431447822,3.62
1431447844,3.44
1431447866,2.99
1431447888,2.99
1431447910,3.30
1431447932,3.52
1431447954,3.66
1431447977,3.77
1431447998,2.95
1431448020,3.27
