timestamp,connect,service,status
1431434370,1,5,200
1431434547,1,2,200
1431434557,1,2,200
1431434557,2,3,200
1431434570,1,4,200
1431434583,1,7,200
1431434583,1,7,200
1431434591,32,19,200
1431434622,1,6,200
1431434624,1,5,200
1431434627,1,3,200
1431434630,2,3,200
1431434632,1,3,200
1431434634,0,4,200
1431434637,1,1,200
1431434639,2,8,200
1431434645,1,10,200
1431434650,2,2,200
1431434651,5,5,200
1431434655,0,4,200
1431434656,1,20,200
1431434657,1,4,200
1431434659,2,10,200
1431434666,2,5,200
1431434667,1,4,200
1431434674,1,6,200
1431434686,3,16,200
1431434689,2,2,200
1431434694,1,12,200
1431434702,5,2,200
1431434708,2,6,200
1431434711,1,2,200
1431434716,0,2,200
1431434716,0,4,406
1431434717,1,3,200
1431434717,3,5,200
1431434718,1,3,200
1431434719,1,3,200
1431434721,0,5,200
1431434725,0,1,200
1431434728,0,2,200
1431434730,4,4,200
1431434730,6,10,200
1431434731,1,2,200
1431434732,1,2,200
1431434736,1,6,200
1431434739,1,13,200
1431434753,1,2,200
1431434758,0,5,200
1431434770,4,2,200
1431434785,4,2,200
1431434790,0,3,200
1431434776,0,7,200
1431434827,0,3,200
1431434828,0,1,200
1431434830,0,2,200
1431434838,0,4,200
1431434919,0,34,200
1431434937,11,8,200
1431434944,0,1,200
1431434973,1,3,200
1431434973,0,5,200
1431434976,1,2,200
1431434977,1,2,200
1431435005,2,12,200
1431435009,1,3,200
1431435017,1,5,200
1431435019,4,6,200
1431435019,1,14,200
1431435020,0,5,200
1431435025,1,4,200
1431435026,0,4,200
1431435026,1,4,200
1431435039,0,3,200
1431435042,1,5,200
1431435043,1,10,200
1431435076,1,2,200
1431435080,3,7,200
1431435080,0,22,200
1431435113,1,3,200
1431435119,0,2,200
1431435120,0,1,200
1431435122,0,3,200
1431435122,30,37,200
1431435127,1,3,200
1431435147,1,9,200
1431435156,1,3,200
1431435159,1,10,200
1431435165,1,5,200
1431435171,1,23,200
1431435179,1,6,200
1431435215,2,37,200
1431435230,1,2,200
1431435236,1,2,200
1431435243,1,2,200
1431435251,1,3,200
1431435275,0,8,200
1431435287,1,2,406
1431435288,10,7,200
1431435295,1,23,200
1431435299,1,5,200
1431435300,1,6,200
1431435307,1,2,200
1431435317,0,14,200
1431435317,1,8,200
1431435318,1,14,200
1431435325,1,18,200
1431435328,0,3,200
1431435331,1,6,200
1431435338,1,4,200
1431435343,1,11,200
1431435353,1,14,200
1431435355,1,2,200
1431435359,0,5,200
1431435367,1,8,200
1431435371,1,11,200
1431435371,0,5,200
1431435375,2,16,200
1431435376,2,18,200
1431435377,0,17,200
1431435379,1,12,200
1431435382,1,6,200
1431435386,1,2,200
1431435387,1,2,200
1431435389,2,6,200
1431435389,1,8,200
1431435394,1,8,200
1431435394,2,8,200
1431435395,1,2,200
1431435397,5,10,200
1431435397,1,4,200
1431435399,1,4,200
1431435402,0,2,200
1431435404,1,4,200
1431435401,1,3,200
1431435407,1,3,200
1431435409,1,2,200
1431435411,1,2,200
1431435412,0,2,200
1431435412,1,3,200
1431435413,0,1,200
1431435417,0,2,200
1431435420,1,2,200
1431435421,1,6,200
1431435421,0,4,200
1431435423,1,2,200
1431435423,4,2,200
1431435424,1,1,200
1431435424,0,1,200
1431435425,1,3,200
